Designator,Mid X,Mid Y,Rotation,Layer
AD1,54.9656,-61.6204,270.0,top
AD3,27.5336,-61.6204,270.0,top
ATOMS1,28.02,-87.4,90.0,bottom
J1,71.1454,-81.3816,270.0,top
J2,58.4454,-81.3816,270.0,top
R1,67.6656,-67.3377,90.0,bottom
R10,72.7456,-67.3354,90.0,bottom
R11,75.2856,-67.3354,90.0,bottom
R12,77.8256,-67.3331,90.0,bottom
R13,32.6136,-67.2823,90.0,bottom
R14,35.1536,-67.2823,90.0,bottom
R15,37.719,-67.2846,90.0,bottom
R16,40.2336,-67.3354,90.0,bottom
R2,65.1256,-67.3377,90.0,bottom
R3,62.5856,-67.3377,90.0,bottom
R4,60.0456,-67.3377,90.0,bottom
R5,50.3936,-67.3377,90.0,bottom
R6,47.8536,-67.3377,90.0,bottom
R7,45.3136,-67.3377,90.0,bottom
R8,42.7736,-67.3377,90.0,bottom
R9,70.2056,-67.3354,90.0,bottom
